"DIST","prod","year"
"Sinazongwe",220290,2011
"Solwezi",323030,2011
"Zambezi",115890,2011
"Chadiza",754683,2013
"Chama",124630,2013
"Chavuma",102225,2013
"Chibombo",1936600,2013
"Chienge",163330,2013
"Chililabombwe",151200,2013
"Chilubi",26610,2013
"Chingola",334050,2013
"Chinsali",637915,2013
"Chipata",1422800,2013
"Choma",1265370,2013
"Chongwe",773430,2013
"Gwembe",282957.5,2013
"Ikelenge",74750,2013
"Isoka",472450,2013
"Itezhi-tezhi",514150,2013
"Kabompo",304347,2013
"Kabwe",297870,2013
"Kafue",722180,2013
"Kalabo",30296,2013
"Kalomo",2091025,2013
"Kalulushi",302100,2013
"Kaoma",613275,2013
"Kapiri-Mposhi",2051650,2013
"Kaputa",138520,2013
"Kasama",575025,2013
"Kasempa",491400,2013
"Katete",1184745,2013
"Kawambwa",368200,2013
"Kazungula",587235,2013
"Kitwe",289200,2013
"Livingstone",77550,2013
"Luangwa",81090,2013
"Luanshya",362700,2013
"Lufwanyama",658550,2013
"Lukulu",82840,2013
"Lundazi",1389385,2013
"Lusaka",58800,2013
"Luwingu",236440,2013
"Mafinga",319630,2013
"Mambwe",281225,2013
"Mansa",452630,2013
"Masaiti",503040,2013
"Mazabuka",784235,2013
"Mbala",968060,2013
"Milenge",91000,2013
"Mkushi",946550,2013
"Mongu",58065,2013
"Monze",691350,2013
"Mpika",542232,2013
"Mpongwe",1034700,2013
"Mporokoso",281380,2013
"Mpulungu",341380,2013
"Mufulira",329800,2013
"Mufumbwe",369030,2013
"Mumbwa",1206140,2013
"Mungwi",567560,2013
"Mwense",116245,2013
"Mwinilunga",323820,2013
"Nakonde",462830,2013
"Namwala",520880,2013
"Nchelenge",180275,2013
"Ndola",290975,2013
"Nyimba",488320,2013
"Petauke",1428500,2013
"Samfya",268500,2013
"Senanga",57495,2013
"Serenje",874540,2013
"Sesheke",149980,2013
"Shang'ombo",130885,2013
"Siavonga",153300,2013
"Sinazongwe",353500,2013
"Solwezi",300145,2013
"Zambezi",138450,2013
"Chadiza",754683,2014
"Chama",124630,2014
"Chavuma",102225,2014
"Chibombo",1936600,2014
"Chienge",166480,2014
"Chililabombwe",153700,2014
"Chilubi",26610,2014
"Chingola",334050,2014
"Chinsali",637915,2014
"Chipata",1424000,2014
"Choma",1273370,2014
"Chongwe",773630,2014
"Gwembe",282957.5,2014
"Ikelenge",74750,2014
"Isoka",476450,2014
"Itezhi-tezhi",514150,2014
"Kabompo",304347,2014
"Kabwe",297870,2014
"Kafue",722180,2014
"Kalabo",30306,2014
"Kalomo",2091025,2014
"Kalulushi",302100,2014
"Kaoma",613775,2014
"Kapiri-Mposhi",2051650,2014
"Kaputa",140520,2014
"Kasama",575025,2014
"Kasempa",491400,2014
"Katete",1184745,2014
"Kawambwa",368200,2014
"Kazungula",587235,2014
"Kitwe",289200,2014
"Livingstone",77550,2014
"Luangwa",82590,2014
"Luanshya",362700,2014
"Lufwanyama",658790,2014
"Lukulu",82840,2014
"Lundazi",1389985,2014
"Lusaka",58800,2014
"Luwingu",236740,2014
"Mafinga",322130,2014
"Mambwe",281225,2014
"Mansa",452630,2014
"Masaiti",503040,2014
"Mazabuka",784235,2014
"Mbala",971460,2014
"Milenge",91150,2014
"Mkushi",946550,2014
"Mongu",58065,2014
"Monze",691350,2014
"Mpika",542232,2014
"Mpongwe",1035200,2014
"Mporokoso",281380,2014
"Mpulungu",341380,2014
"Mufulira",330200,2014
"Mufumbwe",369030,2014
"Mumbwa",1206140,2014
"Mungwi",571560,2014
"Mwense",116845,2014
"Mwinilunga",323870,2014
"Nakonde",462830,2014
"Namwala",520880,2014
"Nchelenge",180425,2014
"Ndola",291225,2014
"Nyimba",488320,2014
"Petauke",1428750,2014
"Samfya",273500,2014
"Senanga",57495,2014
"Serenje",874540,2014
"Sesheke",149980,2014
"Shang'ombo",130885,2014
"Siavonga",153300,2014
"Sinazongwe",353500,2014
"Solwezi",300145,2014
"Zambezi",140950,2014
